"Kod"	"Överordnad kod"	"Titel"	"Alternativ titel"	"Beskrivning"	"Innefattar"	"Utesluter"	"Anmärkning"	"Bedömningsfaktor"
"b1721"	"b172"	"Funktioner för sammansatt kalkylering"	"Sammansatt kalkylering"	"Psykiska funktioner för att översätta problem uttryckta i ord till aritmetiska procedurer, att översätta matematiska formler till aritmetiska procedurer och andra komplexa hanteringar som innefattar siffror"	""	""	""	""
"b1728"	"b172"	"Andra specificerade kalkyleringsfunktioner"	""	""	""	""	""	""
"b1729"	"b172"	"Ospecificerade kalkyleringsfunktioner"	""	""	""	""	""	""
"b176"	"b140-b189"	"Psykisk funktion att ordna sammansatta rörelser i följd"	""	"Specifika psykiska funktioner vad avser att organisera och samordna sammansatta målinriktade rörelser"	""	"psykomotoriska funktioner (b147); högre kognitiva funktioner (b164); Kapitel 7 Neuromuskuloskeletala och rörelserelaterade funktioner (b7)"	"funktionsnedsättningar vilka yttrar sig som ideatorisk apraxi, ideomotorisk apraxi, påklädningsapraxi, okulomotorisk apraxi och talapraxi"	""
"b180"	"b140-b189"	"Funktioner för erfarenhet av jaget och tid"	"Erfarenhet av jaget och tid"	"Specifika psykiska funktioner som rör medvetenheten om egen identitet, egen kropp och egen plats i den omgivande verkligheten samt om tiden"	"funktioner för erfarenhet av jaget, kroppsbild och tid"	""	"funktionsnedsättningar vilka yttrar sig som depersonalisering och derealisering, fantomkänslor och känslan av att vara för tjock eller för smal, jamais vu och déjà vu"	""
"b1800"	"b180"	"Funktioner för erfarenhet av jaget"	"Erfarenhet av jaget"	"Specifika psykiska funktioner av att vara medveten om sin egen identitet och sin egen plats i den omgivning som man befinner sig i"	""	""	"funktionsnedsättningar vilka yttrar sig som depersonalisering och derealisering"	""
"b1801"	"b180"	"Funktioner för kroppsbild"	"Kroppsbild"	"Specifika psykiska funktioner som sammanhänger med föreställning och medvetenhet om den egna kroppen"	""	""	"funktionsnedsättningar vilka yttrar sig som fantomkänslor och känslan av att vara för tjock eller för smal"	""
"b1802"	"b180"	"Funktioner för upplevelse av tid"	"Upplevelse av tid"	"Specifika psykiska funktioner av de subjektiva upplevelserna som sammanhänger med tidens längd och gång"	""	""	"funktionsnedsättningar vilka yttrar sig som jamais vu och déjà vu"	""
"b1808"	"b180"	"Andra specificerade funktioner av upplevelse av jaget och tid"	""	""	""	""	""	""
"b1809"	"b180"	"Ospecificerade funktioner av upplevelse av jaget och tid"	""	""	""	""	""	""
"b189"	"b140-b189"	"Andra specificerade och ospecificerade specifika psykiska funktioner"	""	""	""	""	""	""
"b198"	"b1"	"Psykiska funktioner, andra specificerade"	""	""	""	""	""	""
"b199"	"b1"	"Psykiska funktioner, ospecificerade"	""	""	""	""	""	""
"b2"	"b"	"Sinnesfunktioner och smärta"	""	"Detta kapitel handlar om sinnesorganens funktioner, syn, hörsel, smak osv. samt om smärtförnimmelser"	""	""	""	""
"b210"	"b210-b229"	"Synfunktioner"	"Syn"	"Sinnesfunktioner avseende att förnimma närvaro av ljus och synintryckets form, storlek, utformning och färg"	"synskärpefunktioner; synfältsfunktioner; synkvalitet; funktioner att förnimma ljus och färg, synskärpa vid syn på långt och nära håll, syn med ett öga och båda ögonen; visuell bildkvalitet"	"perceptuella funktioner (b156)"	"funktionsnedsättningar som vid närsynthet, översynthet, astigmatism, halvsidigt synfältsbortfall, färgblindhet, tunnelseende, fläckvisa synfältsbortfall centralt och perifert i synfältet, dubbelseende, nattblindhet, omställningsförmåga från seende i mörker till ljus, ljusskygghet (hypersensivitet för ljus), ströljus, påverkad bildkvalitet (glaskroppsgrumling); bildförvrängning, att se blixtar eller stjärnor"	""
"b210-b229"	"b2"	"Syn och därmed sammanhängande funktioner"	""	""	""	""	""	""
"b2100"	"b210"	"Synskärpefunktioner"	"Synskärpa"	"Synfunktioner att uppfatta form och kontur såväl med båda ögonen som med ett öga och för syn på såväl långt som nära håll"	""	""	""	""
"b21000"	"b2100"	"Binokulär synskärpa på långt avstånd"	""	"Synfunktioner för att uppfatta storlek, form och kontur vid användning av båda ögonen för föremål på långt håll"	""	""	""	""
"b21001"	"b2100"	"Monokulär synskärpa på långt avstånd"	""	"Synfunktioner för att uppfatta storlek, form och kontur vid användning av enbart antingen höger eller vänster öga för föremål på långt håll"	""	""	""	""
"b21002"	"b2100"	"Binokulär synskärpa vid närseende"	""	"Synfunktioner för att uppfatta storlek, form och kontur vid användning av båda ögonen för föremål på nära håll"	""	""	""	""
"b21003"	"b2100"	"Monokulär synskärpa vid närseende"	""	"Synfunktioner för att uppfatta storlek, form och kontur vid användning av enbart antingen höger eller vänster öga för föremål på nära håll"	""	""	""	""
"b21008"	"b2100"	"Andra specificerade synskärpefunktioner"	""	""	""	""	""	""
"b21009"	"b2100"	"Ospecificerade synskärpefunktioner"	""	""	""	""	""	""
"b2101"	"b210"	"Synfältsfunktioner"	"Synfält"	"Synfunktioner som hänger samman med hela det område som kan ses genom intensivt betraktande"	""	""	"funktionsnedsättningar vilka yttrar sig som skotom (mörk fläck i synfältet), tunnelseende och anopsi"	""
"b2102"	"b210"	"Synkvalitet"	""	"Synfunktioner som involverar ljuskänslighet, färgseende, kontrastkänslighet och övergripande bildkvalitet"	""	""	""	""
"b21020"	"b2102"	"Ljuskänslighet"	""	"Synfunktioner för att förnimma en minimal ljusmängd (ljusminimum) och minimal åtskillnad i intensitet (ljusskillnad)"	"funktioner av mörkeranpassning"	""	"funktionsnedsättningar vilka yttrar sig som nattblindhet (hyposensitivitet för ljus); ljusskygghet (hypersensivitet för ljus)"	""
"b21021"	"b2102"	"Färgseende"	""	"Synfunktioner för att skilja färger åt och att para ihop färger"	""	""	""	""
"b21022"	"b2102"	"Kontrastkänslighet"	""	"Synfunktioner att urskilja figur från bakgrund, som innefattar den minsta mängd belysning som krävs för detta ändamål"	""	""	""	""
"b21023"	"b2102"	"Visuell bildkvalitet"	""	"Synfunktioner innefattande bildens kvalitet"	""	""	"funktionsnedsättningar vilka yttrar sig som att se strödda ljus, påverkad bildkvalitet (glaskroppsgrumling), bildförvrängning, att se blixtar eller stjärnor"	""
"b21028"	"b2102"	"Annan specificerad synkvalitet"	""	""	""	""	""	""
"b21029"	"b2102"	"Ospecificerad synkvalitet"	""	""	""	""	""	""
"b2108"	"b210"	"Andra specificerade synfunktioner"	""	""	""	""	""	""
"b2109"	"b210"	"Ospecificerade synfunktioner"	""	""	""	""	""	""
"b215"	"b210-b229"	"Funktioner hos strukturer intill ögat"	""	"Funktioner hos strukturer i och runt ögat som underlättar synfunktioner"	"funktioner i ögats inre muskler, ögonlocket, ögats yttre muskler, innefattande viljemässiga rörelser att följa med blicken och att fixera med blicken, funktioner hos tårkörtlarna, ackommodering, pupillreflex"	"synfunktioner (b210); Kapitel 7 Neuromuskuloskeletala och rörelserelaterade funktioner (b7)"	"funktionsnedsättningar som vid nystagmus (ögondarrning), ögontorrhet, ptos (nedhängande ögonlock)"	""
"b2150"	"b215"	"Funktioner hos ögats inre muskler"	""	"Funktioner hos ögats inre muskler såsom regnbågshinnan, som anpassar pupillens och linsens form och storlek i ögat"	"Innefattar; ackommodationsfunktioner; pupillreflex"	""	""	""
"b2151"	"b215"	"Ögonlockets funktioner"	""	"Funktioner hos ögonlocket såsom blinkreflexen"	""	""	"funktionsnedsättningar som vid ptos (nedhängande ögonlock"	""
"b2152"	"b215"	"Funktioner hos ögats yttre muskler"	""	"Funktioner hos de muskler som används för att se i olika riktningar och att följa ett objekt när det rör sig tvärs över synfältet, att göra sackaderade ögonrörelser för att hinna ifatt ett rörligt mål och för att fixera blicken"	"samverkan mellan båda ögonen"	""	"funktionsnedsättningar som vid nystagmus (ögondarrning)"	""
"b2153"	"b215"	"Funktioner hos tårkörtlarna"	""	"Funktioner i tårkörtlar och tårkanaler"	""	""	""	""
"b2158"	"b215"	"Andra specificerade funktioner hos strukturer intill ögat"	""	""	""	""	""	""
"b2159"	"b215"	"Ospecificerade funktioner hos strukturer intill ögat"	""	""	""	""	""	""
"b220"	"b210-b229"	"Förnimmelser förenade med öga och angränsande strukturer"	""	"Förnimmelser av trötthet, torrhet och klåda och liknande förnimmelser i ögat"	"känsla av tryck bakom ögat, av något i ögat, ögonansträngning, brännande känsla i ögat; ögonirritation"	"smärtförnimmelser (b280)"	""	""
"b229"	"b210-b229"	"Andra specificerade och ospecificerade synfunktioner och därmed relaterade funktioner"	""	""	""	""	""	""
"b230"	"b230-b249"	"Hörselfunktioner"	"Hörsel"	"Sinnesfunktioner som hänger samman med att förnimma närvaro av ljud och att urskilja lokalisering, tonhöjd, ljudstyrka och ljudkvalitet"	"hörselfunktioner, auditiv diskriminering (att skilja mellan ljud), avgöra varifrån ljud kommer (lokalisera, lateralisera), taldiskriminering (talurskiljning)"	"perceptuella funktioner (b156); psykiska språkfunktioner (b167)"	"funktionsnedsättningar som vid dövhet, hörselskada, hörselförlust"	""
"b230-b249"	"b2"	"Hörsel och vestibulära funktioner"	""	""	""	""	""	""
"b2300"	"b230"	"Att upptäcka ljud"	"Upptäcka ljud"	"Sinnesfunktioner som hänger samman med att uppfatta närvaro av ljud"	""	""	""	""
"b2301"	"b230"	"Auditiv diskriminering"	""	"Sinnesfunktioner som hänger samman med att förnimma närvaro av ljud vilket inbegriper att skilja mellan och smälta samman bakgrundsljud och ljudintryck från båda öronen"	""	""	""	""
"b2302"	"b230"	"Att lokalisera en ljudkälla"	"Lokalisera en ljudkälla"	"Sinnesfunktioner avseende att bestämma varifrån ett ljud kommer"	""	""	""	""
"b2303"	"b230"	"Lateralisering av ljud"	""	"Sinnesfunktioner avseende att bestämma om ljudet kommer från höger eller vänster sida"	""	""	""	""
"b2304"	"b230"	"Urskiljning av tal"	""	"Sinnesfunktioner avseende att fastställa talat språk och att skilja det från andra ljud"	""	""	""	""
"b2308"	"b230"	"Andra specificerade hörselfunktioner"	""	""	""	""	""	""
"b2309"	"b230"	"Ospecificerade hörselfunktioner"	""	""	""	""	""	""
"b235"	"b230-b249"	"Vestibulära funktioner"	""	"Innerörats sinnesfunktioner som hänger samman med kroppsställning, balans och rörelse"	"kroppens balansfunktion och förnimmelse av kroppsställning (positionsuppfattning)"	"förnimmelser i samband med hörsel och vestibulära funktioner (b240)"	""	""
"b2350"	"b235"	"Vestibulär positionsfunktion"	""	"Innerörats sinnesfunktioner avseende att avgöra kroppens ställning"	""	""	""	""
"b2351"	"b235"	"Vestibulär balansfunktion"	""	"Innerörats sinnesfunktioner avseende att avgöra balansen"	""	""	""	""
"b2352"	"b235"	"Vestibulär rörelsefunktion"	""	"Innerörats sinnesfunktioner avseende att avgöra kroppens rörelse innefattande dess riktning och hastighet"	""	""	""	""
"b2358"	"b235"	"Andra specificerade vestibulära funktioner"	""	""	""	""	""	""
"b2359"	"b235"	"Ospecificerade vestibulära funktioner"	""	""	""	""	""	""
"b240"	"b230-b249"	"Förnimmelser i samband med hörsel och vestibulär funktion"	"Förnimmelser avseende hörsel och vestibulär funktion"	"Förnimmelser av yrsel, av att falla, tinnitus och svindel"	"förnimmelser av öronsus (tinnitus), irritation i örat, örontryck, illamående i samband med yrsel eller svindel"	"vestibulära funktioner (b235); smärtförnimmelse (b280)"	""	""
"b2400"	"b240"	"Förnimmelse av öronsus eller tinnitus"	"Öronsus eller tinnitus"	"Förnimmelse av lågfrekvent, stormande, brusande eller ringande ljud i örat"	""	""	""	""
"b2401"	"b240"	"Förnimmelse av yrsel"	"Yrsel"	"Förnimmelse av rörelse antingen av en själv eller ens omgivning; rotationskänsla, känsla av att svaja, luta eller välta"	""	""	""	""
"b2402"	"b240"	"Känsla av att falla"	""	"Förnimmelse av att tappa balansen och falla"	""	""	""	""
"b2403"	"b240"	"Förnimmelse av illamående i samband med yrsel eller svindel"	"Illamående vid yrsel eller svindel"	"Förnimmelse av att vilja kräkas som uppkommer på grund av yrsel eller svindel"	""	""	""	""
"b2404"	"b240"	"Förnimmelse av irritation i örat"	"Irritation i örat"	"Förnimmelse av klåda eller andra liknande förnimmelser i örat"	""	""	""	""
"b2405"	"b240"	"Förnimmelse av örontryck"	"Örontryck"	"Förnimmelse av tryck i örat"	""	""	""	""
"b2408"	"b240"	"Andra specificerade förnimmelser i samband med hörsel och vestibulär funktion"	""	""	""	""	""	""
"b2408A"	"b2408"	"Ljudkänslighet"	""	""	""	""	""	""
"b2409"	"b240"	"Ospecificerade förnimmelser i samband med hörsel och vestibulär funktion"	""	""	""	""	""	""
"b249"	"b230-b249"	"Andra specificerade och ospecificerade hörselfunktioner och vestibulära funktioner"	""	""	""	""	""	""
"b250"	"b250-b279"	"Smakfunktion"	"Smak"	"Sinnesfunktioner för att uppfatta beskt, sött, surt och salt"	"smakfunktioner"	""	"funktionsnedsättningar som vid förlorad smak, nedsatt smak"	""
"b250-b279"	"b2"	"Övriga sinnesfunktioner"	""	""	""	""	""	""
"b255"	"b250-b279"	"Luktfunktion"	"Lukt"	"Sinnesfunktioner för att uppfatta lukter och dofter"	"funktioner att lukta"	""	"funktionsnedsättningar som vid anosmi (förlorat luktsinne), hyposmi (nedsatt luktsinne) eller parosmi (förändrat luktsinne)"	""
"b260"	"b250-b279"	"Proprioceptiv funktion"	"Proprioception"	"Sinnesfunktioner för att förnimma kroppen och kroppsdelars inbördes läge och relation till varandra"	"statestesifunktioner (förnimmande av kroppens ställning i vila) och kinestesifunktioner (kroppens ställning i rörelse)"	"vestibulära funktioner (b235); förnimmelser vad avser muskler och rörelsefunktioner (b780)"	""	""
"b265"	"b250-b279"	"Beröringsfunktion"	"Beröring"	"Sinnesfunktioner att känna ytor och deras struktur eller kvalitet"	"beröringsfunktioner, att känna beröring"	"sinnesfunktioner som hänger samman med temperatur och andra sinnesintryck (b270)"	"funktionsnedsättningar vilka yttrar sig som domningskänsla, känsellöshet/bedövning, krypningar/stickningar, parestesi (onormala känselförnimmelser), hyperestesi (överkänslighet för beröring)"	""
"b270"	"b250-b279"	"Sinnesfunktioner som hänger samman med temperatur och andra sinnesintryck"	"Sinnesfunktioner avseende temperatur och andra sinnesintryck"	"Sinnesfunktioner att uppfatta temperatur, vibration, tryck och skadligt sinnesintryck"	"funktioner att förnimma temperatur, vibration, skakning eller svängning, ytligt tryck, djupt tryck, att man bränner sig eller annat skadligt stimulus"	"beröringsfunktion (b265); smärtförnimmelse (b280)"	"funktionsnedsättningar vilka yttrar sig som överkänslighet för beröring, känsla av domning, hypestesi (nedsatt beröringskänsla), hyperestesi (överkänslighet för beröring), parestesi (onormal känselförnimmelse), krypande/stickande känsla, hypalgesi (nedsatt smärtkänsla), hyperpati, allodyni, analgesi (okänslighet för smärta), anaesthesia dolorosa"	""
"b2700"	"b270"	"Temperaturkänsel"	""	"Sinnesfunktion att uppfatta kyla och värme"	""	""	""	""
